,Title,Link
48,Milwaukee M18 CHX-0 FUEL 2.8kg 18V Li-Ion  Brushless Cordless SDS Plus Drill - Bare,https://www.screwfix.com/p/milwaukee-m18-chx-0-fuel-2-8kg-18v-li-ion-brushless-cordless-sds-plus-drill-bare/565fj
49,Makita DHP485STE 18V 5.0Ah Li-Ion LXT Brushless Cordless Combi Drill,https://www.screwfix.com/p/makita-dhp485ste-18v-5-0ah-li-ion-lxt-brushless-cordless-combi-drill/566jr
50,DeWalt D21570K-LX 1300W  Electric Silver Bullet Diamond Core Drill 110V,https://www.screwfix.com/p/dewalt-d21570k-lx-1300w-electric-silver-bullet-diamond-core-drill-110v/97065
51,Performance Power PRH850C 4kg  Electric SDS Plus Drill 220-240V,https://www.screwfix.com/p/performance-power-prh850c-4kg-electric-sds-plus-drill-220-240v/426fx
52,Erbauer EBCD18Li-2 18V 2.0Ah Li-Ion EXT  Cordless Combi Drill,https://www.screwfix.com/p/erbauer-ebcd18li-2-18v-2-0ah-li-ion-ext-cordless-combi-drill/785hf
53,Makita DHP484Z 18V Li-Ion LXT Brushless Cordless Combi Drill - Bare,https://www.screwfix.com/p/makita-dhp484z-18v-li-ion-lxt-brushless-cordless-combi-drill-bare/3738v
54,Milwaukee M18 FPD2-502X FUEL 18V 5.0Ah Li-Ion RedLithium Brushless Cordless Combi Drill,https://www.screwfix.com/p/milwaukee-m18-fpd2-502x-fuel-18v-5-0ah-li-ion-redlithium-brushless-cordless-combi-drill/195fj
55,Makita HR2630 3.3kg  Electric SDS Plus Drill 240V,https://www.screwfix.com/p/makita-hr2630-3-3kg-electric-sds-plus-drill-240v/8602j
56,Bosch GBH 2-26 2.7kg  Electric SDS Plus 110V,https://www.screwfix.com/p/bosch-gbh-2-26-2-7kg-electric-sds-plus-110v/1077p
57,Bosch GSB 18 V-55 18V 4.0Ah Li-Ion Coolpack Brushless Cordless Combi Drill,https://www.screwfix.com/p/bosch-gsb-18-v-55-18v-4-0ah-li-ion-coolpack-brushless-cordless-combi-drill/506jf
58,Milwaukee HD18HX-402C 3.7kg 18V 4.0Ah Li-Ion RedLithium  Cordless SDS Plus Hammer Drill,https://www.screwfix.com/p/milwaukee-hd18hx-402c-3-7kg-18v-4-0ah-li-ion-redlithium-cordless-sds-plus-hammer-drill/388hp
59,Erbauer ECD18-Li-2 18V 4.0Ah Li-Ion EXT Brushless Cordless Combi Drill,https://www.screwfix.com/p/erbauer-ecd18-li-2-18v-4-0ah-li-ion-ext-brushless-cordless-combi-drill/265fv
60,Makita 8406 / 2 850W  Electric Diamond Core Drill 240V,https://www.screwfix.com/p/makita-8406-2-850w-electric-diamond-core-drill-240v/13597
61,Makita DHP453SFE 18V 3.0Ah Li-Ion LXT  Cordless Combi Drill,https://www.screwfix.com/p/makita-dhp453sfe-18v-3-0ah-li-ion-lxt-cordless-combi-drill/6428r
62,Titan TTA572SDS 6.8kg  Electric SDS Max Drill / Chisel 110V,https://www.screwfix.com/p/titan-tta572sds-6-8kg-electric-sds-max-drill-chisel-110v/15461
63,Bosch GBH 2-28 2.9kg  Electric SDS Plus Drill 240V,https://www.screwfix.com/p/bosch-gbh-2-28-2-9kg-electric-sds-plus-drill-240v/5061r
64,DeWalt DCH283N-XJ 3.6kg 18V Li-Ion XR Brushless Cordless SDS Plus Drill - Bare,https://www.screwfix.com/p/dewalt-dch283n-xj-3-6kg-18v-li-ion-xr-brushless-cordless-sds-plus-drill-bare/124hp
65,Milwaukee M18 BPDN-402C 18V 4.0Ah Li-Ion RedLithium  Cordless Combi Drill,https://www.screwfix.com/p/milwaukee-m18-bpdn-402c-18v-4-0ah-li-ion-redlithium-cordless-combi-drill/451gf
66,DeWalt DCD785P2T-SFGB 18V 5.0Ah Li-Ion XR  Cordless Combi-Hammer Drill,https://www.screwfix.com/p/dewalt-dcd785p2t-sfgb-18v-5-0ah-li-ion-xr-cordless-combi-hammer-drill/150jr
67,Makita DHR202STW 3.2kg 18V 5.0Ah Li-Ion LXT  Cordless SDS Rotary Hammer Drill,https://www.screwfix.com/p/makita-dhr202stw-3-2kg-18v-5-0ah-li-ion-lxt-cordless-sds-rotary-hammer-drill/792kg
68,DeWalt D25133K-GB 2.6kg  Electric SDS Plus Drill 240V,https://www.screwfix.com/p/dewalt-d25133k-gb-2-6kg-electric-sds-plus-drill-240v/2864j
69,DeWalt D21570K-GB 1300W  Electric Silver Bullet Diamond Core Drill 230V,https://www.screwfix.com/p/dewalt-d21570k-gb-1300w-electric-silver-bullet-diamond-core-drill-230v/48374
70,Makita DHP482Z 18V Li-Ion LXT  Cordless Combi Drill - Bare,https://www.screwfix.com/p/makita-dhp482z-18v-li-ion-lxt-cordless-combi-drill-bare/3180p
71,Bosch GBH 4-32 4.7kg  Electric SDS Plus Drill 110V,https://www.screwfix.com/p/bosch-gbh-4-32-4-7kg-electric-sds-plus-drill-110v/5798r
72,DeWalt DCH283P2-GB 4.2kg 18V 5.0Ah Li-Ion XR Brushless Cordless SDS Plus Hammer Drill,https://www.screwfix.com/p/dewalt-dch283p2-gb-4-2kg-18v-5-0ah-li-ion-xr-brushless-cordless-sds-plus-hammer-drill/787jf
73,Milwaukee M18 CHPX-0 FUEL 4.6kg 18V Li-Ion RedLithium Brushless Cordless SDS Plus Hammer Drill - Bare,https://www.screwfix.com/p/milwaukee-m18-chpx-0-fuel-4-6kg-18v-li-ion-redlithium-brushless-cordless-sds-plus-hammer-drill-bare/679gx
74,Makita DDA460ZK Twin 18V Li-Ion LXT Brushless Cordless Right-Angled Drill - Bare,https://www.screwfix.com/p/makita-dda460zk-twin-18v-li-ion-lxt-brushless-cordless-right-angled-drill-bare/271hf
75,Erbauer EDD18-Li-2 18V 4.0Ah Li-Ion EXT Brushless Cordless Drill Driver,https://www.screwfix.com/p/erbauer-edd18-li-2-18v-4-0ah-li-ion-ext-brushless-cordless-drill-driver/941fv
76,Milwaukee M12 CH-602X FUEL 1.9kg 12V 6.0Ah Li-Ion RedLithium Brushless Cordless SDS Plus Drill,https://www.screwfix.com/p/milwaukee-m12-ch-602x-fuel-1-9kg-12v-6-0ah-li-ion-redlithium-brushless-cordless-sds-plus-drill/964fj
77,Makita DHR202RT1J 3.2kg 18V 5.0Ah Li-Ion LXT  Cordless SDS Rotary Hammer Drill,https://www.screwfix.com/p/makita-dhr202rt1j-3-2kg-18v-5-0ah-li-ion-lxt-cordless-sds-rotary-hammer-drill/676kg
78,Erbauer ERH18-Li 2.7kg 18V Li-Ion EXT Brushless Cordless SDS Plus Hammer Drill - Bare,https://www.screwfix.com/p/erbauer-erh18-li-2-7kg-18v-li-ion-ext-brushless-cordless-sds-plus-hammer-drill-bare/561fv
79,DeWalt DCH481X2-GB 5.4kg 54V 9.0Ah Li-Ion XR FlexVolt Brushless Cordless SDS Max Drill,https://www.screwfix.com/p/dewalt-dch481x2-gb-5-4kg-54v-9-0ah-li-ion-xr-flexvolt-brushless-cordless-sds-max-drill/9941t
80,Makita HR5212C 11.9kg  Electric SDS Max Drill 240V,https://www.screwfix.com/p/makita-hr5212c-11-9kg-electric-sds-max-drill-240v/490fx
81,Bosch GSB 16 RE 750W  Electric Professional Percussion Drill 240V,https://www.screwfix.com/p/bosch-gsb-16-re-750w-electric-professional-percussion-drill-240v/94479
82,Makita DDF485Z 18V Li-Ion LXT Brushless Cordless Drill Driver - Bare,https://www.screwfix.com/p/makita-ddf485z-18v-li-ion-lxt-brushless-cordless-drill-driver-bare/495hg
83,Bosch GSB18V-60 18V Li-Ion Coolpack Brushless Cordless Combi Drill - Bare,https://www.screwfix.com/p/bosch-gsb18v-60-18v-li-ion-coolpack-brushless-cordless-combi-drill-bare/435fg
84,Makita 8406 / 1 850W  Electric Diamond Core Drill 110V,https://www.screwfix.com/p/makita-8406-1-850w-electric-diamond-core-drill-110v/12922
85,DeWalt DCD701D2-GB 12V 2.0Ah Li-Ion XR Brushless Cordless Drill Driver,https://www.screwfix.com/p/dewalt-dcd701d2-gb-12v-2-0ah-li-ion-xr-brushless-cordless-drill-driver/422hp
86,Milwaukee M18 CHX-502X FUEL 3.5kg 18V 5.0Ah Li-Ion  Brushless Cordless SDS Plus Drill,https://www.screwfix.com/p/milwaukee-m18-chx-502x-fuel-3-5kg-18v-5-0ah-li-ion-brushless-cordless-sds-plus-drill/570fj
87,Milwaukee M12 BDDX-202C 12V 2.0Ah Li-Ion RedLithium  Cordless Drill Driver,https://www.screwfix.com/p/milwaukee-m12-bddx-202c-12v-2-0ah-li-ion-redlithium-cordless-drill-driver/774hf
88,Milwaukee C12 RAD-202B 12V 2.0Ah Li-Ion RedLithium Brushless Cordless Right-Angled Drill,https://www.screwfix.com/p/milwaukee-c12-rad-202b-12v-2-0ah-li-ion-redlithium-brushless-cordless-right-angled-drill/896hf
89,Milwaukee M12 FPD-602X FUEL 12V 6.0Ah Li-Ion RedLithium Brushless Cordless Combi Drill,https://www.screwfix.com/p/milwaukee-m12-fpd-602x-fuel-12v-6-0ah-li-ion-redlithium-brushless-cordless-combi-drill/543fj
90,Makita DHR202RFJ 3.2kg 18V 3.0Ah Li-Ion LXT  Cordless SDS Rotary Hammer Drill,https://www.screwfix.com/p/makita-dhr202rfj-3-2kg-18v-3-0ah-li-ion-lxt-cordless-sds-rotary-hammer-drill/471kg
91,Milwaukee M12 BDD-202C 12V 2.0Ah Li-Ion RedLithium  Cordless Sub-Compact Drill Driver,https://www.screwfix.com/p/milwaukee-m12-bdd-202c-12v-2-0ah-li-ion-redlithium-cordless-sub-compact-drill-driver/308hp
92,DeWalt D25033-GB 2.5kg  Electric SDS Plus Drill 230V,https://www.screwfix.com/p/dewalt-d25033-gb-2-5kg-electric-sds-plus-drill-230v/632gt
93,DeWalt DWD024K-LX 701W  Electric Percussion Drill 110V,https://www.screwfix.com/p/dewalt-dwd024k-lx-701w-electric-percussion-drill-110v/98640
94,Milwaukee C18RAD-0 18V Li-Ion   Cordless Right-Angled Drill - Bare,https://www.screwfix.com/p/milwaukee-c18rad-0-18v-li-ion-cordless-right-angled-drill-bare/559fj
95,Festool TPC 18/4 I-Basic  18V Li-Ion  Brushless Cordless Combi Drill - Bare,https://www.screwfix.com/p/festool-tpc-18-4-i-basic-18v-li-ion-brushless-cordless-combi-drill-bare/876pf
96,Milwaukee M12 BPD-202C 12V 2.0Ah Li-Ion RedLithium  Cordless Sub-Compact Percussion Drill,https://www.screwfix.com/p/milwaukee-m12-bpd-202c-12v-2-0ah-li-ion-redlithium-cordless-sub-compact-percussion-drill/332hp
97,Bosch GBH 2-28 1.7kg  Electric SDS Plus Drill 110V,https://www.screwfix.com/p/bosch-gbh-2-28-1-7kg-electric-sds-plus-drill-110v/7702r
98,Bosch GBH 2000 2.3kg  Electric SDS Plus Drill 240V,https://www.screwfix.com/p/bosch-gbh-2000-2-3kg-electric-sds-plus-drill-240v/87453
99,Erbauer ECDT18-Li-2 18V Li-Ion EXT Brushless Cordless Combi Drill - Bare,https://www.screwfix.com/p/erbauer-ecdt18-li-2-18v-li-ion-ext-brushless-cordless-combi-drill-bare/272fv
100,DeWalt D25333K-LX 3.7kg  Electric Hammer Drill 110V,https://www.screwfix.com/p/dewalt-d25333k-lx-3-7kg-electric-hammer-drill-110v/531hp
101,Bosch GBH 3-28 DFR 1.8kg  Electric SDS Plus Drill 110V,https://www.screwfix.com/p/bosch-gbh-3-28-dfr-1-8kg-electric-sds-plus-drill-110v/3981r
102,Makita DHR241Z 3.3kg 18V Li-Ion   Cordless SDS Plus Drill - Bare,https://www.screwfix.com/p/makita-dhr241z-3-3kg-18v-li-ion-cordless-sds-plus-drill-bare/7825p
103,Makita DF333DWAE 12V 2.0Ah Li-Ion CXT  Cordless Drill Driver,https://www.screwfix.com/p/makita-df333dwae-12v-2-0ah-li-ion-cxt-cordless-drill-driver/855hp
104,Makita DHP453Z 18V Li-Ion LXT  Cordless Combi Drill - Bare,https://www.screwfix.com/p/makita-dhp453z-18v-li-ion-lxt-cordless-combi-drill-bare/3521p
105,Makita HR166DSMJ 2.4kg 10.8-12V 4.0Ah Li-Ion CXT Brushless Cordless SDS Plus Drill,https://www.screwfix.com/p/makita-hr166dsmj-2-4kg-10-8-12v-4-0ah-li-ion-cxt-brushless-cordless-sds-plus-drill/978gt
106,Milwaukee M18 BH-0 1.9kg 18V Li-Ion RedLithium  Cordless SDS Plus Hammer Drill - Bare,https://www.screwfix.com/p/milwaukee-m18-bh-0-1-9kg-18v-li-ion-redlithium-cordless-sds-plus-hammer-drill-bare/104hp
107,Erbauer ECD18-Li-2 18V 4.0Ah Li-Ion EXT Brushless Cordless Combi Drill,https://www.screwfix.com/p/erbauer-ecd18-li-2-18v-4-0ah-li-ion-ext-brushless-cordless-combi-drill/609fv
108,Marcrist DDM150-1S/110V UK 1900W  Electric Diamond Core Drill 110V,https://www.screwfix.com/p/marcrist-ddm150-1s-110v-uk-1900w-electric-diamond-core-drill-110v/178hf
109,Makita HR3210C/2 5.6kg  Electric SDS Plus Drill 240V,https://www.screwfix.com/p/makita-hr3210c-2-5-6kg-electric-sds-plus-drill-240v/51574
110,Makita HR3210C/1 5.2kg  Electric SDS Plus Drill 110V,https://www.screwfix.com/p/makita-hr3210c-1-5-2kg-electric-sds-plus-drill-110v/30021
111,DeWalt DCH733X2-GB 9.9kg 54V 9.0Ah Li-Ion XR FlexVolt Brushless Cordless SDS Max Rotary Hammer,https://www.screwfix.com/p/dewalt-dch733x2-gb-9-9kg-54v-9-0ah-li-ion-xr-flexvolt-brushless-cordless-sds-max-rotary-hammer/716kj
112,Makita HR140DZ 1.6kg 10.8V Li-Ion CXT  Cordless SDS Plus Drill - Bare,https://www.screwfix.com/p/makita-hr140dz-1-6kg-10-8v-li-ion-cxt-cordless-sds-plus-drill-bare/237fv
113,Makita DHP485Z 18V Li-Ion LXT Brushless Cordless Combi Drill - Bare,https://www.screwfix.com/p/makita-dhp485z-18v-li-ion-lxt-brushless-cordless-combi-drill-bare/194gt
114,Bosch GSB 18V-21 Professional  18V 2.0Ah Li-Ion Coolpack  Cordless Combi Drill,https://www.screwfix.com/p/bosch-gsb-18v-21-professional-18v-2-0ah-li-ion-coolpack-cordless-combi-drill/462kr
115,Makita M8101K 710W  Electric Percussion Drill 240V,https://www.screwfix.com/p/makita-m8101k-710w-electric-percussion-drill-240v/3043r
116,Bosch GSB 13 RE 600W  Electric Impact Drill 230V,https://www.screwfix.com/p/bosch-gsb-13-re-600w-electric-impact-drill-230v/4902j
117,Milwaukee M18 ONEPD2-502X FUEL 18V 5.0Ah Li-Ion RedLithium Brushless Cordless ONE-KEY Combi Drill,https://www.screwfix.com/p/milwaukee-m18-onepd2-502x-fuel-18v-5-0ah-li-ion-redlithium-brushless-cordless-one-key-combi-drill/655gt
118,Makita HR2630 2.8kg  Electric SDS Plus Drill 110V,https://www.screwfix.com/p/makita-hr2630-2-8kg-electric-sds-plus-drill-110v/7982j
119,Milwaukee M18 CRAD2-0X 18V Li-Ion RedLithium Brushless Cordless Angle Drill Driver - Bare,https://www.screwfix.com/p/milwaukee-m18-crad2-0x-18v-li-ion-redlithium-brushless-cordless-angle-drill-driver-bare/665kr
120,Makita DDF482Z 18V Li-Ion LXT  Cordless Drill Driver - Bare,https://www.screwfix.com/p/makita-ddf482z-18v-li-ion-lxt-cordless-drill-driver-bare/6662p
121,Milwaukee C12RAD-0 12V Li-Ion RedLithium  Cordless Right-Angled Drill - Bare,https://www.screwfix.com/p/milwaukee-c12rad-0-12v-li-ion-redlithium-cordless-right-angled-drill-bare/946fj
122,Makita HP1631K/1 710W  Electric Percussion Drill 110V,https://www.screwfix.com/p/makita-hp1631k-1-710w-electric-percussion-drill-110v/51532
123,DeWalt DWD024K-GB 701W  Electric Percussion Drill 240V,https://www.screwfix.com/p/dewalt-dwd024k-gb-701w-electric-percussion-drill-240v/59025
124,Makita DHR182ZJ 2.4kg 18V Li-Ion LXT Brushless Cordless SDS Rotary Hammer Drill - Bare,https://www.screwfix.com/p/makita-dhr182zj-2-4kg-18v-li-ion-lxt-brushless-cordless-sds-rotary-hammer-drill-bare/525kg
125,Makita HP1631K/2 710W  Electric Percussion Drill 240V,https://www.screwfix.com/p/makita-hp1631k-2-710w-electric-percussion-drill-240v/46545
126,Bosch GSR 12-2-LiN 12V Li-Ion   Cordless Drill Driver - Bare,https://www.screwfix.com/p/bosch-gsr-12-2-lin-12v-li-ion-cordless-drill-driver-bare/72589
127,Festool CXS 10.8V 2.6Ah Li-Ion   Cordless Multipurpose Drill,https://www.screwfix.com/p/festool-cxs-10-8v-2-6ah-li-ion-cordless-multipurpose-drill/407pf
128,Bosch 06019H5372 18V 4.0Ah Li-Ion Coolpack Brushless Cordless Combi Drill,https://www.screwfix.com/p/bosch-06019h5372-18v-4-0ah-li-ion-coolpack-brushless-cordless-combi-drill/929hp
129,Makita DA333DZ 10.8 / 12V Li-Ion CXT  Cordless Right-Angled Drill - Bare,https://www.screwfix.com/p/makita-da333dz-10-8-12v-li-ion-cxt-cordless-right-angled-drill-bare/900hf
130,Makita DHR242RFJ 3.9kg 18V 3.0Ah Li-Ion LXT Brushless Cordless SDS Rotary Hammer Drill,https://www.screwfix.com/p/makita-dhr242rfj-3-9kg-18v-3-0ah-li-ion-lxt-brushless-cordless-sds-rotary-hammer-drill/625kg
131,Bosch GBH 4-32 4.7kg  Electric SDS Plus Hammer Drill 240V,https://www.screwfix.com/p/bosch-gbh-4-32-4-7kg-electric-sds-plus-hammer-drill-240v/436kx
132,Makita HP332DSAJ 10.8V 2.0Ah Li-Ion CXT Brushless Cordless Combi Drill,https://www.screwfix.com/p/makita-hp332dsaj-10-8v-2-0ah-li-ion-cxt-brushless-cordless-combi-drill/219fg
133,Makita DF333DZ 12V Li-Ion CXT  Cordless Drill Driver - Bare,https://www.screwfix.com/p/makita-df333dz-12v-li-ion-cxt-cordless-drill-driver-bare/986hp
134,Erbauer EDD18-Li-2 18V Li-Ion EXT Brushless Cordless Drill Driver - Bare,https://www.screwfix.com/p/erbauer-edd18-li-2-18v-li-ion-ext-brushless-cordless-drill-driver-bare/925fv
135,DeWalt DCD470N-XJ 54V Li-Ion XR FlexVolt Brushless Cordless Right-Angle Diamond Core Drill - Bare,https://www.screwfix.com/p/dewalt-dcd470n-xj-54v-li-ion-xr-flexvolt-brushless-cordless-right-angle-diamond-core-drill-bare/980hp
136,DeWalt DCD706D2-GB 12V 2Ah Li-Ion XR Brushless Cordless Hammer Drill Driver,https://www.screwfix.com/p/dewalt-dcd706d2-gb-12v-2ah-li-ion-xr-brushless-cordless-hammer-drill-driver/842kj
137,Bosch GSB 16 RE 750W  Electric Professional Percussion Drill 110V,https://www.screwfix.com/p/bosch-gsb-16-re-750w-electric-professional-percussion-drill-110v/96828
138,Bosch GSB12V-15N 12V Li-Ion   Cordless Combi Drill - Bare,https://www.screwfix.com/p/bosch-gsb12v-15n-12v-li-ion-cordless-combi-drill-bare/6213j
139,Milwaukee M12 FPDXKIT-602X FUEL 12V 6.0Ah Li-Ion RedLithium Brushless Cordless 6-in-1 Combi Drill,https://www.screwfix.com/p/milwaukee-m12-fpdxkit-602x-fuel-12v-6-0ah-li-ion-redlithium-brushless-cordless-6-in-1-combi-drill/832fj
140,Makita DHR165ZJ 2.3kg 18V Li-Ion LXT  Cordless Compact SDS Plus Drill - Bare,https://www.screwfix.com/p/makita-dhr165zj-2-3kg-18v-li-ion-lxt-cordless-compact-sds-plus-drill-bare/9791p
141,Milwaukee M12 H-0 0.5kg 12V Li-Ion RedLithium  Cordless SDS Plus Hammer Drill - Bare,https://www.screwfix.com/p/milwaukee-m12-h-0-0-5kg-12v-li-ion-redlithium-cordless-sds-plus-hammer-drill-bare/787hp
142,Bosch GBH 3-28 DFR 1.8kg  Electric SDS Plus Drill 240V,https://www.screwfix.com/p/bosch-gbh-3-28-dfr-1-8kg-electric-sds-plus-drill-240v/1454r
143,Festool TXS  10.8V 2.6Ah Li-Ion   Cordless Multipurpose Drill,https://www.screwfix.com/p/festool-txs-10-8v-2-6ah-li-ion-cordless-multipurpose-drill/724pf
144,DeWalt DCH273N-XJ 2.5kg 18V Li-Ion XR Brushless Cordless SDS Drill - Bare,https://www.screwfix.com/p/dewalt-dch273n-xj-2-5kg-18v-li-ion-xr-brushless-cordless-sds-drill-bare/102kj
145,Bosch GBH 18-VECN 1.9kg 18V Li-Ion Coolpack Brushless Cordless SDS Plus Drill - Bare,https://www.screwfix.com/p/bosch-gbh-18-vecn-1-9kg-18v-li-ion-coolpack-brushless-cordless-sds-plus-drill-bare/8983j
146,Makita DHR202RF1J 3.2kg 18V 3.0Ah Li-Ion LXT  Cordless SDS Rotary Hammer Drill,https://www.screwfix.com/p/makita-dhr202rf1j-3-2kg-18v-3-0ah-li-ion-lxt-cordless-sds-rotary-hammer-drill/234kg
147,Makita HP332DZ 10.8V Li-Ion CXT Brushless Cordless Combi Drill - Bare,https://www.screwfix.com/p/makita-hp332dz-10-8v-li-ion-cxt-brushless-cordless-combi-drill-bare/118fg
148,Bosch GSB 1600 RE 701W  Electric Percussion Drill 110V,https://www.screwfix.com/p/bosch-gsb-1600-re-701w-electric-percussion-drill-110v/9835r
149,Makita M8701 2.7kg  Electric SDS Plus Drill 240V,https://www.screwfix.com/p/makita-m8701-2-7kg-electric-sds-plus-drill-240v/2914r
